SL,Name,Address,Contact,Gmap,Website,FB,Insta,Youtube
1,Dim Sum Town,"House 24 (Level 3), Road 10/B, Gareeb-e-Newaz Ave, Sector 11, Dhaka 1230",880 1721-078111,https://maps.app.goo.gl/bS849vNuuPiUpjmT6,https://dimsumtown.com,https://www.facebook.com/DimSumTownBD,N/A,
2,Ajo Idea Space,"14/A, Road No. 2, Dhaka 1230",880 1613-161616,https://maps.app.goo.gl/rGXDNpvSe5ZnoZSV6,N/A,,N/A,
3,Hobnob Coffee,"55 Gausul Azam Ave, Sector 14, Uttara, Dhaka 1230",880 1979-316428,https://maps.app.goo.gl/g98gAov6RhuJwMYL7,N/A,https://www.facebook.com/hobnobcoffee,https://www.instagram.com/hobnobcoffeeofficial,
,,,,,,,,
5,Aat Art Cafe,"House 10 Rd 17, The Sand Roses, Dhaka 1230",01991-819380,https://maps.app.goo.gl/UkxjsdtsesbRZtXZ6,N/A,https://www.facebook.com/aatartcafe,https://www.instagram.com/aatartcafe,
6,Izakaya Uttara,"House 26 Rabindra Sarani, Dhaka 1230",880 1810-102520,https://maps.app.goo.gl/DyHpJcjsBMdsVjjy8,https://izakaya.com.bd,https://www.facebook.com/izakayauttara,https://www.instagram.com/izakayabd/,
7,Phin Cafe,"25 Garib-E-Newaz Ave, Dhaka 1230",01896-131067,https://maps.app.goo.gl/pax426Lgt7YLzQZc9,https://phincafe.one,https://www.facebook.com/profile.php?id=61570136467929,https://www.instagram.com/phincafe.one/,https://www.youtube.com/@phin_cafe
8,Tandoor N Spice Uttara,"88 Shah Makhdum Ave (3rd floor), Dhaka 1230",09639-154641 / +8801329703425,https://maps.app.goo.gl/KwcJnPrKG7zjh7TSA,https://tandoornspiceuttara.com,https://www.facebook.com/profile.php?id=61580100030280,https://www.instagram.com/tandoor_n_spice_uttara/,
9,Takeout Uttara,"17 Sonargaon Janapath Rd, Dhaka 1230",01847-290010,https://maps.app.goo.gl/4x5RTHgJbcN1GYiA6,N/A,https://www.facebook.com/bdtakeout/,N/A,
10,Shiraj Chuigosto - Uttara,"Road 1/B, House 2, Dhaka 1230",01322-909368,https://maps.app.goo.gl/eQq8Pmr2z2x1b9qc8,https://www.shirajchuigosto.com,https://www.facebook.com/shirajchuigosto,N/A,
11,Madchef Uttara,"4th Floor, Jewel Tower, 34 Gareeb-e-Newaz Ave, Dhaka 1230",09638-050505,https://maps.app.goo.gl/r5DTwqW18o4v4AYY8,http://madchef.com.bd,https://www.facebook.com/madchefbd,https://www.instagram.com/madchefbd,
